Rank,CCA3,Country/Territory,Capital,Continent,2022,2020,2015,2010,2000,1990,1980,1970,Area (km²),Density (per km²),Growth Rate,World,Growth_from_1970_to_2022,Growth_from_1970_to_2020,Growth_from_1970_to_2015,Growth_from_1970_to_2010,Growth_from_1970_to_2000,Growth_from_1970_to_1990,Growth_from_1970_to_1980
129,KWT,Kuwait,Kuwait City,Asia,4268873,4360444,3908743,2943356,1934901,1674938,1493870,802786,17818,239.5821,1.0044,0.05,3466087,3557658,3105957,2140570,1132115,872152,691084
110,KGZ,Kyrgyzstan,Bishkek,Asia,6630623,6424874,5914980,5483774,4935182,4394734,3691209,3016384,199951,33.1612,1.0158,0.08,3614239,3408490,2898596,2467390,1918798,1378350,674825
103,LAO,Laos,Vientiane,Asia,7529475,7319399,6787419,6323418,5430853,4314443,3297519,2675283,236800,31.7968,1.0141,0.09,4854192,4644116,4112136,3648135,2755570,1639160,622236
151,LVA,Latvia,Riga,Europe,1850651,1897052,1991955,2101530,2392530,2689391,2572037,2397414,64559,28.666,0.9876,0.02,-546763,-500362,-405459,-295884,-4884,291977,174623
119,LBN,Lebanon,Beirut,Asia,5489739,5662923,6398940,4995800,4320642,3593700,2963702,2381791,10452,525.2334,0.9816,0.07,3107948,3281132,4017149,2614009,1938851,1211909,581911
147,LSO,Lesotho,Maseru,Africa,2305825,2254100,2118521,2022747,1998630,1798997,1407672,1023481,30355,75.962,1.0107,0.03,1282344,1230619,1095040,999266,975149,775516,384191
121,LBR,Liberia,Monrovia,Africa,5302681,5087584,4612329,4019956,2895224,2209731,1932169,1463563,111369,47.6136,1.021,0.07,3839118,3624021,3148766,2556393,1431661,746168,468606
107,LBY,Libya,Tripoli,Africa,6812341,6653942,6192235,6491988,5154790,4236983,2962720,1909177,1759540,3.8717,1.0114,0.09,4903164,4744765,4283058,4582811,3245613,2327806,1053543
216,LIE,Liechtenstein,Vaduz,Europe,39327,38756,37355,35926,33026,28765,25003,21089,160,245.7937,1.0074,0.0,18238,17667,16266,14837,11937,7676,3914
141,LTU,Lithuania,Vilnius,Europe,2750055,2820267,2963765,3139019,3599637,3785847,3521206,3210147,65300,42.1142,0.9869,0.03,-460092,-389880,-246382,-71128,389490,575700,311059
168,LUX,Luxembourg,Luxembourg,Europe,647599,630399,569408,507070,435628,381267,363741,339342,2586,250.425,1.0129,0.01,308257,291057,230066,167728,96286,41925,24399
167,MAC,Macau,Concelho de Macau,Asia,695168,676283,615239,557297,431896,350227,245332,247284,30,23172.2667,1.0125,0.01,447884,428999,367955,310013,184612,102943,-1952
50,MDG,Madagascar,Antananarivo,Africa,29611714,28225177,24850912,21731053,16216431,11882762,8948162,6639751,587041,50.4423,1.0241,0.37,22971963,21585426,18211161,15091302,9576680,5243011,2308411
62,MWI,Malawi,Lilongwe,Africa,20405317,19377061,16938942,14718422,11229387,9539665,6267369,4625141,118484,172.22,1.0259,0.26,15780176,14751920,12313801,10093281,6604246,4914524,1642228
45,MYS,Malaysia,Kuala Lumpur,Asia,33938221,33199993,31068833,28717731,22945150,17517054,13215707,10306508,330803,102.5934,1.0109,0.43,23631713,22893485,20762325,18411223,12638642,7210546,2909199
174,MDV,Maldives,Malé,Asia,523787,514438,435582,361575,282507,224957,164887,123243,300,1745.9567,1.0045,0.01,400544,391195,312339,238332,159264,101714,41644
59,MLI,Mali,Bamako,Africa,22593590,21224040,18112907,15529181,11239101,8945026,7372581,6153587,1240192,18.2178,1.0314,0.28,16440003,15070453,11959320,9375594,5085514,2791439,1218994
